## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
LEOTUDEMensOversized,LEOTUDE Men's Oversized Cottonblend Half Sleeve Printed Tshirt,TTN/MEN,LEOTUDE Men's Oversized Cottonblend Half Sleeve Printed Tshirt,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/6/1/61cxyduksil._uy741_.jpg,350,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/leotude-men-s-oversized-cottonblend-half-sleeve-printed-tshirt.html,,,,,,,,,,,,,
T-shirt,Relaxed Fit Cotton T-shirt,TTN/MEN,Relaxed Fit Cotton T-shirt,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/i/m/image_60.png,10,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/white-t-shirt.html,,,,,,,,,,,,,
blackcasual,Men Black & Grey Checked Pure Cotton Casual Shirt,TTN/MEN,Men Black & Grey Checked Pure Cotton Casual Shirt,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/w/1/w1.jpg,20,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/black-casual.html,,,,,,,,,,,,,
pamlumtops,pamlumtops,TTN/WOMEN,pamlumtops,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/b/l/black.jpg,80,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/pamlumtops.html,,,,,,,,,,,,,
MaxWomenT-Shirt3,Max Women T-Shirt 3,TTN/WOMEN,Max Women T-Shirt 3,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/m/a/max_women_t-shirt3.jpg,101,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/max-women-t-shirt-3.html,,,,,,,,,,,,,
PumaWomenSolid,Puma Women's Solid Oversized Fit T-Shirt,TTN/WOMEN,Puma Women's Solid Oversized Fit T-Shirt,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/p/u/puma_women_s_solid_oversized_fit_t-shirt.jpg,161,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/puma-women-s-solid-oversized-fit-t-shirt.html,,,,,,,,,,,,,
Jeans,Tapered Fit Men Black Jeans,TTN/MEN,Tapered Fit Men Black Jeans,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/j/e/jeans.jpg,20,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/tapered-fit-men-black-jeans.html,,,,,,,,,,,,,
Trousers,Slim Fit Men Blue Viscose Rayon Trousers,TTN/MEN,Slim Fit Men Blue Viscose Rayon Trousers,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/t/r/trousers.jpg,10,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/slim-fit-men-blue-viscose-rayon-trousers.html,,,,,,,,,,,,,
Pants,Solid Men Black Track Pants,TTN/MEN,Solid Men Black Track Pants,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/p/a/pants.jpg,30,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/solid-men-black-track-pants.html,,,,,,,,,,,,,
JAGUAR-Classic-Black-EDT,JAGUAR Classic Black Eau de Toilette,TTN/MEN,JAGUAR Classic Black Eau de Toilette,https://ttnretail.qa6.tothenew.net/media/catalog/product/cache/a39eb090b8408f2e64acce8f4b870e90/j/a/jaguar_classic_black_eau_de_toilette.jpg,99,https://publish-p42517-e1411479.adobeaemcloud.com/us/en/product-details/jaguar-classic-black-eau-de-toilette.html,,,,,,,,,,,,,
